Single-Clue-0,CLUE0,,Single-Answer-0,ANSWER0,,Double-Clue-0,CLUE0,,Double-Answer-0,ANSWER0,,Single-Category-0,CATEGORY0,,S0: 200,,S1: 200,,S2: 200,,S3: 200,,S4: 200,,S5: 200,,S6: 200,,S7: 200
Single-Clue-1,CLUE1,,Single-Answer-1,ANSWER1,,Double-Clue-1,CLUE1,,Double-Answer-1,ANSWER1,,Single-Category-1,CATEGORY1,,S8: 400,,S9: 400,,S10: 400,,S11: 400,,S12: 400,,S13: 400,,S14: 400,,S15: 400
Single-Clue-2,CLUE2,,Single-Answer-2,ANSWER2,,Double-Clue-2,CLUE2,,Double-Answer-2,ANSWER2,,Single-Category-2,CATEGORY2,,S16: 600,,S17: 600,,S18: 600,,S19: 600,,S20: 600,,S21: 600,,S22: 600,,S23: 600
Single-Clue-3,CLUE3,,Single-Answer-3,ANSWER3,,Double-Clue-3,CLUE3,,Double-Answer-3,ANSWER3,,Single-Category-3,CATEGORY3,,S24: 800,,S25: 800,,S26: 800,,S27: 800,,S28: 800,,S29: 800,,S30: 800,,S31: 800
Single-Clue-4,CLUE4,,Single-Answer-4,ANSWER4,,Double-Clue-4,CLUE4,,Double-Answer-4,ANSWER4,,Single-Category-4,CATEGORY4,,S32: 1000,,S33: 1000,,S34: 1000,,S35: 1000,,S36: 1000,,S37: 1000,,S38: 1000,,S39: 1000
Single-Clue-5,CLUE5,,Single-Answer-5,ANSWER5,,Double-Clue-5,CLUE5,,Double-Answer-5,ANSWER5,,Single-Category-5,CATEGORY5,,S40: 1200,,S41: 1200,,S42: 1200,,S43: 1200,,S44: 1200,,S45: 1200,,S46: 1200,,S47: 1200
Single-Clue-6,CLUE6,,Single-Answer-6,ANSWER6,,Double-Clue-6,CLUE6,,Double-Answer-6,ANSWER6,,Single-Category-6,CATEGORY6,,S48: 1400,,S49: 1400,,S50: 1400,,S51: 1400,,S52: 1400,,S53: 1400,,S54: 1400,,S55: 1400
Single-Clue-7,CLUE7,,Single-Answer-7,ANSWER7,,Double-Clue-7,CLUE7,,Double-Answer-7,ANSWER7,,Single-Category-7,CATEGORY7,,S56: 1600,,S57: 1600,,S58: 1600,,S59: 1600,,S60: 1600,,S61: 1600,,S62: 1600,,S63: 1600
Single-Clue-8,CLUE8,,Single-Answer-8,ANSWER8,,Double-Clue-8,CLUE8,,Double-Answer-8,ANSWER8,,,,,S64: 1800,,S65: 1800,,S66: 1800,,S67: 1800,,S68: 1800,,S69: 1800,,S70: 1800,,S71: 1800
Single-Clue-9,CLUE9,,Single-Answer-9,ANSWER9,,Double-Clue-9,CLUE9,,Double-Answer-9,ANSWER9,,Double-Category-0,CATEGORY0,,S72: 2000,,S73: 2000,,S74: 2000,,S75: 2000,,S76: 2000,,S77: 2000,,S78: 2000,,S79: 2000
Single-Clue-10,CLUE10,,Single-Answer-10,ANSWER10,,Double-Clue-10,CLUE10,,Double-Answer-10,ANSWER10,,Double-Category-1,CATEGORY1,,,,,,,,,,,,,,,,
Single-Clue-11,CLUE11,,Single-Answer-11,ANSWER11,,Double-Clue-11,CLUE11,,Double-Answer-11,ANSWER11,,Double-Category-2,CATEGORY2,,D0: 400,,D1: 400,,D2: 400,,D3: 400,,D4: 400,,D5: 400,,D6: 400,,D7: 400
Single-Clue-12,CLUE12,,Single-Answer-12,ANSWER12,,Double-Clue-12,CLUE12,,Double-Answer-12,ANSWER12,,Double-Category-3,CATEGORY3,,D8: 800,,D9: 800,,D10: 800,,D11: 800,,D12: 800,,D13: 800,,D14: 800,,D15: 800
Single-Clue-13,CLUE13,,Single-Answer-13,ANSWER13,,Double-Clue-13,CLUE13,,Double-Answer-13,ANSWER13,,Double-Category-4,CATEGORY4,,D16: 1200,,D17: 1200,,D18: 1200,,D19: 1200,,D20: 1200,,D21: 1200,,D22: 1200,,D23: 1200
Single-Clue-14,CLUE14,,Single-Answer-14,ANSWER14,,Double-Clue-14,CLUE14,,Double-Answer-14,ANSWER14,,Double-Category-5,CATEGORY5,,D24: 1600,,D25: 1600,,D26: 1600,,D27: 1600,,D28: 1600,,D29: 1600,,D30: 1600,,D31: 1600
Single-Clue-15,CLUE15,,Single-Answer-15,ANSWER15,,Double-Clue-15,CLUE15,,Double-Answer-15,ANSWER15,,Double-Category-6,CATEGORY6,,D32: 2000,,D33: 2000,,D34: 2000,,D35: 2000,,D36: 2000,,D37: 2000,,D38: 2000,,D39: 2000
Single-Clue-16,CLUE16,,Single-Answer-16,ANSWER16,,Double-Clue-16,CLUE16,,Double-Answer-16,ANSWER16,,Double-Category-7,CATEGORY7,,D40: 2400,,D41: 2400,,D42: 2400,,D43: 2400,,D44: 2400,,D45: 2400,,D46: 2400,,D47: 2400
Single-Clue-17,CLUE17,,Single-Answer-17,ANSWER17,,Double-Clue-17,CLUE17,,Double-Answer-17,ANSWER17,,,,,D48: 2800,,D49: 2800,,D50: 2800,,D51: 2800,,D52: 2800,,D53: 2800,,D54: 2800,,D55: 2800
Single-Clue-18,CLUE18,,Single-Answer-18,ANSWER18,,Double-Clue-18,CLUE18,,Double-Answer-18,ANSWER18,,Final-Category,FINAL CATEGORY,,D56: 3200,,D57: 3200,,D58: 3200,,D59: 3200,,D60: 3200,,D61: 3200,,D62: 3200,,D63: 3200
Single-Clue-19,CLUE19,,Single-Answer-19,ANSWER19,,Double-Clue-19,CLUE19,,Double-Answer-19,ANSWER19,,Final-Clue,FINAL CLUE,,D64: 3600,,D65: 3600,,D66: 3600,,D67: 3600,,D68: 3600,,D69: 3600,,D70: 3600,,D71: 3600
